name,version,license,repo
json-glib,1.4.4-1.el8.x86_64,"LGPLv2+",@anaconda
kafka,3.3.1-1.el8.x86_64,"Apache (v2)",@manageiq-16-petrosian
kbd,2.0.4-11.el8.x86_64,"GPLv2+",@baseos
kbd-legacy,2.0.4-11.el8.noarch,"GPLv2+",@baseos
kbd-misc,2.0.4-11.el8.noarch,"GPLv2+",@baseos
kernel,4.18.0-513.el8.x86_64,"GPLv2 and Redistributable, no modification permitted",@baseos
kernel-core,4.18.0-513.el8.x86_64,"GPLv2 and Redistributable, no modification permitted",@baseos
kernel-modules,4.18.0-513.el8.x86_64,"GPLv2 and Redistributable, no modification permitted",@baseos
kernel-tools,4.18.0-513.el8.x86_64,"GPLv2",@baseos
kernel-tools-libs,4.18.0-513.el8.x86_64,"GPLv2",@baseos
kexec-tools,2.0.26-7.el8.x86_64,"GPLv2",@baseos
keyutils,1.5.10-9.el8.x86_64,"GPLv2+ and LGPLv2+",@anaconda
keyutils-libs,1.5.10-9.el8.x86_64,"GPLv2+ and LGPLv2+",@anaconda
kmod,25-19.el8.x86_64,"GPLv2+",@anaconda
kmod-libs,25-19.el8.x86_64,"LGPLv2+",@anaconda
kpartx,0.8.4-39.el8.x86_64,"GPLv2",@baseos
kpatch,0.9.7-2.el8.noarch,"GPLv2",@anaconda
kpatch-dnf,0.9.7_0.4-2.el8.noarch,"GPLv2",@anaconda
krb5-libs,1.18.2-25.el8.x86_64,"MIT",@baseos
krb5-pkinit,1.18.2-25.el8.x86_64,"MIT",@baseos
krb5-workstation,1.18.2-25.el8.x86_64,"MIT",@baseos
langpacks-en,1.0-12.el8.noarch,"GPLv2+",@appstream
lasso,2.6.0-13.el8.x86_64,"GPLv2+",@appstream
less,530-1.el8.x86_64,"GPLv3+ or BSD",@anaconda
libX11,1.6.8-6.el8.x86_64,"MIT",@appstream
libX11-common,1.6.8-6.el8.noarch,"MIT",@appstream
libXau,1.0.9-3.el8.x86_64,"MIT",@appstream
libXcomposite,0.4.4-14.el8.x86_64,"MIT",@appstream
libXcursor,1.1.15-3.el8.x86_64,"MIT",@appstream
libXdamage,1.1.4-14.el8.x86_64,"MIT",@appstream
libXext,1.3.4-1.el8.x86_64,"MIT",@appstream
libXfixes,5.0.3-7.el8.x86_64,"MIT",@appstream
libXft,2.3.3-1.el8.x86_64,"MIT",@appstream
libXi,1.7.10-1.el8.x86_64,"MIT",@appstream
libXinerama,1.1.4-1.el8.x86_64,"MIT",@appstream
libXrandr,1.5.2-1.el8.x86_64,"MIT",@appstream
libXrender,0.9.10-7.el8.x86_64,"MIT",@appstream
libXtst,1.2.3-7.el8.x86_64,"MIT",@appstream
libacl,2.2.53-1.el8.x86_64,"LGPLv2+",@anaconda
libaio,0.3.112-1.el8.x86_64,"LGPLv2+",@anaconda
libappstream-glib,0.7.14-3.el8.x86_64,"LGPLv2+",@anaconda
libarchive,3.3.3-5.el8.x86_64,"BSD",@anaconda
libassuan,2.5.1-3.el8.x86_64,"LGPLv2+ and GPLv3+",@anaconda
libattr,2.4.48-3.el8.x86_64,"LGPLv2+",@anaconda
libbasicobjects,0.1.1-40.el8.x86_64,"GPLv3+",@anaconda
libblkid,2.32.1-43.el8.x86_64,"LGPLv2+",@baseos
libbpf,0.5.0-1.el8.x86_64,"LGPLv2 or BSD",@anaconda
libcap,2.48-5.el8.x86_64,"BSD or GPLv2",@baseos
libcap-ng,0.7.11-1.el8.x86_64,"LGPLv2+",@anaconda
libcollection,0.7.0-40.el8.x86_64,"LGPLv3+",@anaconda
libcom_err,1.45.6-5.el8.x86_64,"MIT",@anaconda
libcomps,0.1.18-1.el8.x86_64,"GPLv2+",@anaconda
libcroco,0.6.12-4.el8_2.1.x86_64,"LGPLv2",@anaconda
libcurl,7.61.1-33.el8.x86_64,"MIT",@baseos
libdaemon,0.14-15.el8.x86_64,"LGPLv2+",@anaconda
libdatrie,0.2.9-7.el8.x86_64,"LGPLv2+",@appstream
libdb,5.3.28-42.el8_4.x86_64,"BSD and LGPLv2 and Sleepycat",@anaconda
libdb-utils,5.3.28-42.el8_4.x86_64,"BSD and LGPLv2 and Sleepycat",@anaconda
libdhash,0.5.0-40.el8.x86_64,"LGPLv3+",@anaconda
libdnf,0.63.0-16.el8.x86_64,"LGPLv2+",@baseos
libedit,3.1-23.20170329cvs.el8.x86_64,"BSD",@anaconda
libestr,0.1.10-3.el8.x86_64,"LGPLv2+",@appstream
libev,4.24-6.el8.x86_64,"BSD or GPLv2+",@appstream
libevent,2.1.8-5.el8.x86_64,"BSD and ISC",@anaconda
libfastjson,0.99.9-2.el8.x86_64,"MIT",@appstream
libfdisk,2.32.1-43.el8.x86_64,"LGPLv2+",@baseos
libffi,3.1-24.el8.x86_64,"MIT",@anaconda
libfontenc,1.1.3-8.el8.x86_64,"MIT",@appstream
libgcc,8.5.0-20.el8.x86_64,"GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD",@baseos
libgcrypt,1.8.5-7.el8.x86_64,"LGPLv2+",@anaconda
libgomp,8.5.0-20.el8.x86_64,"GPLv3+ and GPLv3+ with exceptions and GPLv2+ with exceptions and LGPLv2+ and BSD",@baseos
libgpg-error,1.31-1.el8.x86_64,"LGPLv2+",@anaconda
libibverbs,46.0-1.el8.1.x86_64,"GPLv2 or BSD",@baseos
libicu,60.3-2.el8_1.x86_64,"MIT and UCD and Public Domain",@anaconda
libidn2,2.2.0-1.el8.x86_64,"(GPLv2+ or LGPLv3+) and GPLv3+",@anaconda
libini_config,1.3.1-40.el8.x86_64,"LGPLv3+",@anaconda
libipa_hbac,2.9.1-2.el8.x86_64,"LGPLv3+",@baseos
libjose,10-2.el8.x86_64,"ASL 2.0",@appstream
libjpeg-turbo,1.5.3-12.el8.x86_64,"IJG",@appstream
libkadm5,1.18.2-25.el8.x86_64,"MIT",@baseos
libkcapi,1.2.0-2.el8.x86_64,"BSD or GPLv2",@anaconda
libkcapi-hmaccalc,1.2.0-2.el8.x86_64,"BSD or GPLv2",@anaconda
libksba,1.3.5-9.el8.x86_64,"(LGPLv3+ or GPLv2+) and GPLv3+",@anaconda
libldb,2.7.2-3.el8.x86_64,"LGPL-3.0-or-later",@baseos
libmaxminddb,1.2.0-10.el8.x86_64,"ASL 2.0 and BSD",@appstream
libmetalink,0.1.3-7.el8.x86_64,"MIT",@anaconda
libmnl,1.0.4-6.el8.x86_64,"LGPLv2+",@anaconda
libmodman,2.0.1-17.el8.x86_64,"LGPLv2+",@anaconda
libmodulemd,2.13.0-1.el8.x86_64,"MIT",@anaconda
libmount,2.32.1-43.el8.x86_64,"LGPLv2+",@baseos
libndp,1.7-6.el8.x86_64,"LGPLv2+",@anaconda
libnet,1.1.6-15.el8.x86_64,"BSD",@appstream
libnetapi,4.18.6-1.el8.x86_64,"GPL-3.0-or-later AND LGPL-3.0-or-later",@baseos
libnetfilter_conntrack,1.0.6-5.el8.x86_64,"GPLv2+",@anaconda
libnfnetlink,1.0.1-13.el8.x86_64,"GPLv2+",@anaconda
libnfsidmap,2.3.3-59.el8.x86_64,"BSD",@anaconda
libnftnl,1.2.2-3.el8.x86_64,"GPLv2+",@baseos
libnghttp2,1.33.0-3.el8_2.1.x86_64,"MIT",@anaconda
libnl3,3.7.0-1.el8.x86_64,"LGPLv2",@anaconda
libnl3-cli,3.7.0-1.el8.x86_64,"LGPLv2",@anaconda
libnsl2,1.2.0-2.20180605git4a062cf.el8.x86_64,"BSD and LGPLv2+",@anaconda
libpath_utils,0.2.1-40.el8.x86_64,"LGPLv3+",@anaconda
libpcap,1.9.1-5.el8.x86_64,"BSD with advertising",@anaconda
libpipeline,1.5.0-2.el8.x86_64,"GPLv3+",@anaconda
libpkgconf,1.4.2-1.el8.x86_64,"ISC",@anaconda
libpng,1.6.34-5.el8.x86_64,"zlib",@anaconda
libpq,13.5-1.el8.x86_64,"PostgreSQL",@appstream
libproxy,0.4.15-5.2.el8.x86_64,"LGPLv2+",@anaconda
libpsl,0.20.2-6.el8.x86_64,"MIT",@anaconda
libpwquality,1.4.4-6.el8.x86_64,"BSD or GPLv2+",@anaconda
librdkafka,0.11.4-3.el8.x86_64,"BSD",@appstream
libref_array,0.1.5-40.el8.x86_64,"LGPLv3+",@anaconda
librelp,1.9.0-1.el8.x86_64,"GPLv3+",@appstream
librepo,1.14.2-4.el8.x86_64,"LGPLv2+",@anaconda
libreport-filesystem,2.9.5-15.el8.x86_64,"GPLv2+",@anaconda
libseccomp,2.5.2-1.el8.x86_64,"LGPLv2",@anaconda
libsecret,0.18.6-1.el8.x86_64,"LGPLv2+",@anaconda
libselinux,2.9-8.el8.x86_64,"Public Domain",@anaconda
libselinux-utils,2.9-8.el8.x86_64,"Public Domain",@anaconda
libsemanage,2.9-9.el8.x86_64,"LGPLv2+",@anaconda
libsepol,2.9-3.el8.x86_64,"LGPLv2+",@anaconda
libsigsegv,2.11-5.el8.x86_64,"GPLv2+",@anaconda
libslirp,4.4.0-1.module_el8+487+8e42a277.x86_64,"BSD and MIT",@appstream
libsmartcols,2.32.1-43.el8.x86_64,"LGPLv2+",@baseos
